,prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
8205,75929,7-12,577,Carnotaurus Gyrosphere Escape,blah,blahblah,Carnotaurus Gyrosphere Escape,LU,109.7878,1.0,,nan,5.0,
8206,75933,7-12,609,T. rex Transport,blah,blahblah,T. rex Transport,LU,97.5878,,,nan,,
8207,75932,6-12,360,Jurassic Park Velociraptor Chase,blah,blahblah,Jurassic Park Velociraptor Chase,LU,67.0878,4.0,4.8,Average,5.0,4.3
8208,75931,7-12,289,Dilophosaurus Outpost Attack,blah,blahblah,Dilophosaurus Outpost Attack,LU,67.0878,1.0,3.0,Easy,4.0,3.0
8209,75928,7-12,397,Blue's Helicopter Pursuit,blah,blahblah,Blue's Helicopter Pursuit,LU,67.0878,,,nan,,
8210,75927,6-12,222,Stygimoloch Breakout,blah,blahblah,Stygimoloch Breakout,LU,54.8878,2.0,4.5,Average,5.0,4.5
8211,75926,6-12,126,Pteranodon Chase,blah,blahblah,Pteranodon Chase,LU,32.9278,1.0,3.0,Easy,4.0,2.0
8212,76105,14+,1363,The Hulkbuster: Ultron Edition,blah,blahblah,Marvel Super Heroes,LU,170.7878,52.0,3.2,Average,3.8,4.0
8213,76108,8-14,1004,Sanctum Sanctorum Showdown,blah,blahblah,Marvel Super Heroes,LU,134.18779999999998,7.0,4.8,Average,5.0,4.8
8214,76107,8-14,674,Thanos: Ultimate Battle,blah,blahblah,Marvel Super Heroes,LU,109.7878,17.0,4.9,Average,4.7,4.2
8215,76103,7-14,416,Corvus Glaive Thresher Attack,blah,blahblah,Marvel Super Heroes,LU,54.8878,3.0,3.7,Average,4.0,3.7
8216,76104,7-14,375,The Hulkbuster Smash-Up,blah,blahblah,Marvel Super Heroes,LU,48.7878,13.0,4.7,Easy,4.8,4.7
8217,76102,6-12,223,Thor's Weapon Quest,blah,blahblah,Marvel Super Heroes,LU,36.5878,10.0,4.4,Easy,4.4,4.9
8218,76101,6-12,124,Outrider Dropship Attack,blah,blahblah,Marvel Super Heroes,LU,21.9478,13.0,4.2,Easy,4.8,4.8
8219,76088,7-14,492,Thor vs. Hulk: Arena Clash,blah,blahblah,Marvel Super Heroes,LU,85.3878,6.0,4.7,Average,4.3,4.0
8220,76078,7-14,375,Hulk vs. Red Hulk,blah,blahblah,Marvel Super Heroes,LU,85.3878,7.0,4.1,Easy,3.7,2.3
8221,76084,7-14,400,The Ultimate Battle for Asgard,blah,blahblah,Marvel Super Heroes,LU,67.0878,6.0,4.8,Easy,4.3,4.5
8222,76083,7-14,375,Beware the Vulture,blah,blahblah,Marvel Super Heroes,LU,54.8878,23.0,4.4,Average,4.6,3.9
