prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
41194,9-12,0.17091190679193655,Noctura's Tower & the Earth Fox Rescue,blah,blahblah,Elves,GB,76.986,-0.4143334310019652,1.0874067240945555,unknown,-0.04568656278335346,-1.9744778846532818
41193,8-12,-0.06368604081533742,Aira & the Song of the Wind Dragon,blah,blahblah,Elves,GB,48.986000000000004,-0.4143334310019652,0.21606411046666346,Average,0.9906509527738996,0.43972377031040566
41192,8-12,-0.17316508303206526,Azari & the Fire Lion Capture,blah,blahblah,Elves,GB,34.986,-0.4143334310019652,-0.6552785031612287,Average,-1.0820240783406065,-1.169743999665386
41191,7-12,-0.3596403747198984,Naida & the Water Turtle Ambush,blah,blahblah,Elves,GB,27.986,-0.4143334310019652,1.0874067240945555,Average,0.9906509527738996,1.2444576552983015
41190,7-12,-0.42701209300711557,Emily Jones & the Eagle Getaway,blah,blahblah,Elves,GB,18.186,-0.4143334310019652,1.0874067240945555,Easy,0.9906509527738996,1.2444576552983015
41188,8-12,0.22986216029325154,Breakout from the Goblin King's Fortress,blah,blahblah,Elves,GB,90.986,-0.44053428621623847,0.21606411046666346,unknown,0.9906509527738996,0.11783021631524704
41187,8-12,-0.05285844323346323,Rosalyn's Healing Hideout,blah,blahblah,Elves,GB,55.986000000000004,-0.3095300101448721,0.21606411046666346,Average,-0.46022156900625505,-0.043116560682331544
41183,8-12,-0.1984294773897717,The Goblin King's Evil Dragon,blah,blahblah,Elves,GB,34.986,-0.25712829971632556,-0.1324729349844937,Average,-0.46022156900625505,0.27877699331282707
41186,7-12,-0.43182435859905965,Azari & the Goblin Forest Escape,blah,blahblah,Elves,GB,25.186,-0.4143334310019652,1.0874067240945555,Average,0.9906509527738996,-1.169743999665386
41130,8-12,0.7459776450292543,Amusement Park Roller Coaster,blah,blahblah,Friends,GB,139.986,-0.021320602787866128,0.7388696786433984,Average,0.576115946550998,0.43972377031040566
41318,7-12,0.4416018463387911,Heartlake Hospital,blah,blahblah,Friends,GB,118.986,-0.36193172057341866,1.0874067240945555,Average,0.576115946550998,-0.36501011467749017
41317,7-12,0.11918005167853767,Sunshine Catamaran,blah,blahblah,Friends,GB,90.986,-0.4143334310019652,1.0874067240945555,Challenging,-0.04568656278335346,1.2444576552983015
41314,6-12,0.14203831324027205,Stephanie's House,blah,blahblah,Friends,GB,90.986,-0.25712829971632556,0.39033263319224126,Average,-0.8747565752291566,-1.4916375536605446
41340,6-12,0.26234495303887406,Friendship House,blah,blahblah,Friends,GB,83.986,-0.28332915493059885,0.39033263319224126,Average,-0.8747565752291566,-0.36501011467749017
41324,8-12,0.0975248565147893,Snow Resort Ski Lift,blah,blahblah,Friends,GB,76.986,-0.3881325757876919,-1.875158162240278,Average,-1.7038265876749579,-0.8478504456702274
41126,6-12,0.0854941925349291,Heartlake Riding Club,blah,blahblah,Friends,GB,76.986,-0.33573086535914537,1.0874067240945555,Average,0.9906509527738996,1.2444576552983015
41313,6-12,0.10233712210673339,Heartlake Summer Pool,blah,blahblah,Friends,GB,76.986,-0.3095300101448721,0.7388696786433984,Easy,-0.04568656278335346,-0.36501011467749017
41339,7-12,-0.01917258408985467,Mia's Camper Van,blah,blahblah,Friends,GB,69.986,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
41338,6-12,-0.05285844323346323,Stephanie's Sports Arena,blah,blahblah,Friends,GB,55.986000000000004,-0.44053428621623847,-0.6552785031612287,Average,-1.0820240783406065,-5.193413424604865
41323,7-12,-0.12263629431665242,Snow Resort Chalet,blah,blahblah,Friends,GB,55.986000000000004,-0.36193172057341866,1.0874067240945555,Average,0.9906509527738996,0.43972377031040566
41320,6-12,-0.16113441905220507,Heartlake Frozen Yogurt Shop,blah,blahblah,Friends,GB,55.986000000000004,,0.21606411046666346,unknown,0.16158094032809642,0.11783021631524704
41325,6-12,-0.21406934056358995,Heartlake City Playground,blah,blahblah,Friends,GB,55.986000000000004,-0.3881325757876919,-0.6552785031612287,Challenging,-1.7038265876749579,-1.9744778846532818
